customer_id,transaction_date,amount,category,persona
1,2024-10-22,240.58,Electronics,premium
1,2024-11-02,231.98,Sports,premium
1,2024-11-08,355.8,Electronics,premium
1,2024-11-19,231.86,Home,premium
1,2024-11-20,428.18,Travel,premium
1,2024-12-02,237.31,Electronics,premium
1,2024-12-12,279.56,Sports,premium
1,2024-12-13,345.8,Electronics,premium
1,2024-12-15,182.33,Electronics,premium
1,2024-12-16,502.27,Electronics,premium
1,2024-12-16,375.49,Sports,premium
1,2024-12-16,339.08,Travel,premium
1,2024-12-19,293.71,Electronics,premium
1,2024-12-21,199.27,Electronics,premium
1,2024-12-21,153.34,Home,premium
1,2024-12-22,243.15,Travel,premium
1,2024-12-23,364.57,Travel,premium
1,2024-12-26,189.56,Home,premium
1,2024-12-27,290.75,Sports,premium
1,2024-12-28,225.85,Travel,premium
1,2024-12-29,328.93,Home,premium
1,2024-12-29,326.57,Home,premium
1,2024-12-29,351.02,Home,premium
1,2024-12-29,212.86,Home,premium
1,2024-12-29,255.26,Sports,premium
1,2024-12-29,159.35,Travel,premium
2,2024-11-25,223.84,Fashion,premium
2,2024-11-29,253.79,Electronics,premium
2,2024-11-30,381.9,Fashion,premium
2,2024-12-03,256.64,Electronics,premium
2,2024-12-07,280.41,Fashion,premium
2,2024-12-08,261.23,Home,premium
2,2024-12-10,248.36,Travel,premium
2,2024-12-10,256.87,Electronics,premium
2,2024-12-10,297.2,Fashion,premium
2,2024-12-12,118.21,Travel,premium
2,2024-12-15,300.6,Travel,premium
2,2024-12-15,274.04,Travel,premium
2,2024-12-17,278.52,Fashion,premium
2,2024-12-18,146.12,Books,premium
2,2024-12-19,284.82,Home,premium
2,2024-12-19,477.06,Books,premium
2,2024-12-19,378.96,Home,premium
2,2024-12-21,165.88,Sports,premium
2,2024-12-21,80.1,Home,premium
2,2024-12-23,398.43,Travel,premium
2,2024-12-23,262.85,Fashion,premium
2,2024-12-24,224.86,Home,premium
2,2024-12-24,392.22,Home,premium
2,2024-12-25,167.85,Home,premium
2,2024-12-25,209.55,Fashion,premium
2,2024-12-26,286.15,Fashion,premium
2,2024-12-26,200.76,Books,premium
2,2024-12-27,234.7,Electronics,premium
2,2024-12-27,416.53,Electronics,premium
2,2024-12-27,349.89,Sports,premium
3,2024-07-11,354.12,Sports,premium
3,2024-08-21,383.95,Groceries,premium
3,2024-09-07,210.63,Beauty,premium
3,2024-10-09,300.04,Beauty,premium
3,2024-10-30,307.72,Groceries,premium
3,2024-11-02,348.32,Sports,premium
3,2024-11-12,423.09,Groceries,premium
3,2024-11-13,268.56,Groceries,premium
3,2024-11-15,125.23,Electronics,premium
3,2024-11-26,338.76,Sports,premium
3,2024-11-27,203.64,Electronics,premium
3,2024-11-27,243.0,Groceries,premium
3,2024-11-28,191.0,Sports,premium
3,2024-11-28,313.45,Groceries,premium
4,2024-09-28,270.07,Electronics,premium
4,2024-11-04,339.23,Fashion,premium
4,2024-11-14,212.26,Fashion,premium
4,2024-11-21,158.81,Electronics,premium
4,2024-11-22,205.92,Electronics,premium
4,2024-11-26,238.96,Home,premium
4,2024-12-01,293.85,Home,premium
4,2024-12-02,310.83,Home,premium
4,2024-12-12,284.66,Home,premium
4,2024-12-16,188.56,Home,premium
4,2024-12-17,349.8,Fashion,premium
4,2024-12-22,365.3,Home,premium
5,2024-10-11,588.22,Electronics,premium
5,2024-10-26,120.68,Electronics,premium
5,2024-10-26,314.08,Sports,premium
5,2024-11-04,376.83,Electronics,premium
5,2024-11-08,267.9,Electronics,premium
5,2024-11-12,413.1,Electronics,premium
5,2024-11-12,220.86,Electronics,premium
5,2024-11-14,175.37,Beauty,premium
5,2024-11-18,120.75,Home,premium
5,2024-11-22,221.38,Beauty,premium
5,2024-11-23,233.74,Home,premium
5,2024-11-25,422.5,Sports,premium
5,2024-12-01,225.81,Beauty,premium
5,2024-12-03,270.76,Electronics,premium
5,2024-12-03,346.54,Beauty,premium
6,2024-11-02,298.32,Groceries,premium
6,2024-11-15,331.77,Groceries,premium
6,2024-11-16,290.09,Fashion,premium
6,2024-11-16,197.25,Sports,premium
6,2024-11-19,296.34,Home,premium
6,2024-11-27,315.7,Electronics,premium
6,2024-12-04,370.9,Electronics,premium
6,2024-12-07,188.4,Sports,premium
6,2024-12-12,327.31,Sports,premium
6,2024-12-13,236.4,Sports,premium
6,2024-12-15,178.61,Home,premium
6,2024-12-17,156.5,Fashion,premium
